35.0,52.95
35.0,56.79
33.7,54.13
34.0,57.33
34.0,55.07
36.0,51.13
34.0,55.47
33.0,57.86
34.0,57.50
30.7,57.27
33.0,53.83
36.0,54.44
35.0,56.00
34.0,56.24
34.0,55.79
35.0,54.68
33.7,53.67
35.0,53.50
34.0,55.26
35.0,53.97
35.0,55.76
35.0,53.53
33.0,56.06
34.7,56.10
32.0,57.15
34.0,54.73
36.0,51.47
35.0,55.58
35.0,53.48
35.0,55.56
34.7,55.40
35.0,53.19
36.0,53.87
35.0,54.96
35.0,54.01
33.0,55.53
32.7,59.41
31.0,55.17
36.0,55.01
34.0,57.31
33.0,54.68
38.0,51.67
37.0,52.19
27.7,63.75
35.0,54.05
36.0,54.86
34.0,54.90
33.0,54.99
35.0,55.54
31.0,57.44
32.7,57.45
33.0,56.82
35.0,54.78
35.0,53.46
37.0,54.65
33.0,54.31
35.0,57.37
33.7,53.59
34.0,54.12
35.0,53.80
35.0,55.01
35.0,54.21
36.0,52.99
36.6,52.28
34.0,55.76
34.0,55.70
35.0,55.05
33.0,56.29
35.0,52.83
34.7,57.26
33.0,56.52
34.0,55.38
33.0,57.77
34.0,54.82
35.0,54.52
36.0,53.99
33.7,56.05
34.0,55.36
35.0,55.83
32.0,58.85
32.0,56.98
34.0,56.04
33.0,56.55
33.7,56.44
36.0,54.15
33.0,55.80
33.0,56.04
35.0,54.28
28.0,63.46
37.0,51.56
37.0,51.85
36.6,51.82
39.0,46.98
38.0,50.12
37.0,52.28
37.0,49.61
38.0,51.43
38.0,51.95
38.0,51.51
35.6,53.80
37.0,51.40
36.0,52.85
38.0,50.76
36.0,52.15
37.0,50.34
37.6,49.27
35.0,55.86
33.0,55.40
36.0,54.25
31.0,57.35
33.0,56.28
33.7,54.13
35.0,52.53
35.0,54.22
37.0,50.56
38.0,50.63
36.0,53.33
36.0,53.98
32.7,56.58
33.0,56.52
33.0,56.70
27.0,64.68
33.0,56.73
33.0,55.78
34.0,56.70
32.7,54.38
35.0,53.81
35.0,56.01
34.0,56.85
32.0,59.13
35.0,54.61
36.0,53.06
32.7,56.42
32.0,56.20
35.0,54.53
34.0,63.79
29.0,55.98
32.0,55.96
32.0,55.74
32.7,56.92
34.0,56.18
33.0,55.18
36.0,51.91
36.0,53.93
35.0,57.60
31.7,56.23
35.0,54.89
34.0,52.36
32.0,59.63
33.0,56.73
34.0,57.51
32.0,56.90
35.0,53.29
36.6,52.36
34.0,55.72
36.0,54.22
36.0,54.80
35.0,53.72
35.0,54.95
34.7,54.56
32.0,56.90
35.0,54.77
35.0,55.33
35.0,51.30
38.0,54.89
33.0,55.28
33.0,55.88
26.7,66.34
36.0,53.40
33.0,54.79
34.0,56.39
35.0,55.43
33.0,57.40
32.0,56.28
31.7,52.42
34.0,58.53
31.0,58.83
32.0,57.94
33.0,58.27
34.0,54.34
33.0,55.49
35.6,53.72
33.0,55.43
33.0,56.39
34.0,52.44
36.0,53.12
37.0,52.40
36.0,52.72
35.6,51.99
37.0,50.32
37.0,50.40
39.0,50.07
39.0,49.41
38.0,50.67
37.6,52.13
36.0,49.55
35.0,53.51
37.0,51.56
37.0,51.66
35.0,53.95
35.0,52.74
35.6,52.66
35.0,55.77
34.0,53.76
28.0,65.53
33.0,56.86
33.0,56.58
32.0,58.06
32.7,55.77
34.0,55.49
